date,day,week,month,new_cases,new_deaths,tests_performed,tests_positive,region_ce_active,region_foreign_active,region_kk_active,region_kp_active,region_kr_active,region_lj_active,region_mb_active,region_ms_active,region_ng_active,region_nm_active,region_po_active,region_sg_active,region_unknown_active,region_za_active,region_active,state_in_hospital,state_icu,state_critical,state_care,state_deceased,kindergarten_employees_confirmed,kindergarten_attendees_confirmed,elementary_employees_confirmed,elementary_attendees_confirmed,highschool_employees_confirmed,highschool_attendees_confirmed,institutions_employees_confirmed,institutions_attendees_confirmed,tavg,tmin,tmax,prcp,snow,wspd,wpgt,pres
2020-09-06,7,36,9,43,0,706,25.0,96.0,17.0,31.0,13.0,36.0,159,64.0,35.0,9.0,28.0,5.0,21.0,6.0,5.0,525,23.0,3.0,3.0,0.0,0.0,0,0,3,3,0,1,0,0,21.7,15.1,28.5,0.0,0.0,7.0,33.3,1014.4
2020-09-07,1,37,9,25,0,1581,42.0,93.0,18.0,32.0,13.0,39.0,168,74.0,35.0,6.0,34.0,6.0,19.0,5.0,5.0,547,26.0,4.0,4.0,0.0,0.0,0,0,9,4,0,2,0,0,20.3,18.5,22.6,0.0,0.0,3.6,14.8,1018.9
2020-09-08,2,37,9,42,0,2560,78.0,104.0,16.0,31.0,11.0,42.0,173,93.0,34.0,5.0,38.0,6.0,23.0,5.0,9.0,590,28.0,4.0,4.0,0.0,0.0,0,0,0,12,0,2,0,0,20.1,15.6,25.7,0.0,0.0,2.7,16.7,1027.0
2020-09-09,3,37,9,80,0,2489,77.0,109.0,17.0,31.0,10.0,48.0,189,106.0,37.0,5.0,43.0,7.0,21.0,4.0,8.0,635,27.0,4.0,3.0,0.0,0.0,1,1,5,7,1,1,0,0,21.2,12.7,27.2,0.0,0.0,2.8,14.8,1024.6
2020-09-10,4,37,9,77,0,2758,108.0,112.0,18.0,29.0,9.0,51.0,218,124.0,40.0,7.0,44.0,11.0,22.0,6.0,10.0,701,26.0,5.0,5.0,0.0,0.0,1,0,0,10,1,6,0,0,21.8,16.0,28.3,0.0,0.0,3.9,20.4,1018.5
2020-09-11,5,37,9,108,0,3191,105.0,127.0,19.0,29.0,11.0,57.0,240,136.0,40.0,9.0,47.0,14.0,22.0,6.0,12.0,769,27.0,6.0,6.0,0.0,0.0,3,0,2,3,0,3,0,0,21.9,16.5,27.8,0.0,0.0,4.8,25.9,1016.5
2020-09-12,6,37,9,106,0,1793,99.0,142.0,18.0,29.0,11.0,60.0,250,161.0,42.0,10.0,45.0,26.0,22.0,8.0,13.0,837,31.0,6.0,6.0,0.0,0.0,3,0,1,2,0,1,0,0,22.4,15.9,29.4,0.0,0.0,4.8,25.9,1019.5
2020-09-13,7,37,9,99,0,1110,47.0,152.0,18.0,24.0,10.0,64.0,258,172.0,42.0,10.0,45.0,26.0,23.0,9.0,13.0,866,38.0,7.0,7.0,0.0,0.0,2,0,0,0,2,1,0,0,22.9,16.0,30.1,0.0,0.0,4.5,38.9,1025.0
2020-09-14,1,38,9,47,0,2247,82.0,151.0,18.0,19.0,11.0,68.0,278,186.0,42.0,13.0,44.0,33.0,23.0,9.0,13.0,908,42.0,9.0,8.0,0.0,0.0,3,0,2,6,2,6,0,0,23.1,17.0,30.0,0.0,0.0,5.3,24.1,1027.6
2020-09-15,2,38,9,82,0,3123,123.0,174.0,14.0,16.0,11.0,73.0,299,196.0,43.0,16.0,44.0,41.0,26.0,9.0,14.0,976,50.0,10.0,9.0,0.0,0.0,0,0,8,3,0,2,0,0,24.1,15.9,30.5,0.0,0.0,6.3,24.1,1023.8
