date,week,new_cases,new_deaths,tests_performed,tests_positive,region_ce_active,region_foreign_active,region_kk_active,region_kp_active,region_kr_active,region_lj_active,region_mb_active,region_ms_active,region_ng_active,region_nm_active,region_po_active,region_sg_active,region_unknown_active,region_za_active,region_active,state_in_hospital,state_icu,state_critical,state_care,state_deceased,kindergarten_employees_confirmed,kindergarten_attendees_confirmed,elementary_employees_confirmed,elementary_attendees_confirmed,highschool_employees_confirmed,highschool_attendees_confirmed,institutions_employees_confirmed,institutions_attendees_confirmed,tavg,tmin,tmax,prcp,snow,wspd,wpgt,pres
2020-09-12,37,481,0,15078,534.0,783.0,123.0,212.0,78.0,333.0,1397,758.0,263.0,51.0,279.0,75.0,150.0,40.0,62.0,4604,188.0,32.0,31.0,0.0,0.0,8,1,20,41,2,16,0,0,149.4,110.30000000000001,189.50000000000003,0.0,0.0,29.6,151.8,7139.4
2020-09-19,38,706,6,18465,717.0,1253.0,106.0,110.0,83.0,565.0,2315,1462.0,301.0,121.0,313.0,334.0,199.0,53.0,121.0,7336,387.0,69.0,58.0,10.0,6.0,9,2,18,20,10,22,0,0,151.9,111.2,195.1,0.0,0.0,38.300000000000004,179.7,7159.8
2020-09-26,39,882,5,17120,930.0,1632.0,108.0,101.0,148.0,814.0,3408,1803.0,317.0,189.0,230.0,633.0,489.0,36.0,251.0,10159,467.0,96.0,80.0,79.0,5.0,15,4,19,29,6,17,0,0,122.10000000000001,95.0,158.4,77.8,10.0,33.0,122.4,7067.3
2020-10-03,40,1139,9,17695,1149.0,1822.0,116.0,181.0,228.0,1263.0,4216,1988.0,466.0,277.0,336.0,442.0,987.0,20.0,506.0,12848,595.0,110.0,69.0,100.0,10.0,15,5,26,27,10,34,1,0,101.00000000000001,75.10000000000001,137.2,45.900000000000006,0.0,42.00000000000001,135.20000000000002,7063.200000000001
2020-10-10,41,1922,12,22196,2161.0,2366.0,137.0,398.0,342.0,2457.0,6040,2512.0,820.0,534.0,904.0,239.0,1198.0,34.0,694.0,18675,859.0,144.0,76.0,85.0,11.0,27,6,74,80,15,85,0,0,100.8,77.6,138.5,46.1,0.0,33.8,114.89999999999999,7106.799999999999
2020-10-17,42,4164,17,29467,4474.0,3727.0,363.0,1294.0,534.0,5547.0,11325,3624.0,1354.0,1150.0,2528.0,468.0,1535.0,28.0,938.0,34415,1432.0,246.0,155.0,75.0,17.0,113,22,174,113,33,94,6,3,71.4,48.599999999999994,101.4,105.0,0.0,38.7,129.7,7090.699999999999
2020-10-24,43,8858,51,38615,9787.0,8171.0,565.0,2819.0,1409.0,12886.0,22526,7393.0,3355.0,2324.0,5363.0,1027.0,3118.0,6.0,1711.0,72673,2401.0,409.0,295.0,124.0,51.0,316,23,416,67,20,19,10,5,97.80000000000001,76.0,125.1,8.4,0.0,49.5,148.1,7150.499999999999
2020-10-31,44,13033,103,41996,12641.0,17006.0,567.0,3812.0,3360.0,25078.0,40249,14789.0,7509.0,4281.0,8534.0,1919.0,5290.0,0.0,2983.0,135377,4345.0,705.0,452.0,301.0,103.0,267,11,328,26,19,2,18,2,94.8,72.89999999999999,131.0,18.799999999999997,10.0,24.5,98.1,7116.9
2020-11-07,45,9963,193,35286,9506.0,20484.0,593.0,3503.0,4038.0,27793.0,46919,20417.0,10794.0,5711.0,9157.0,2332.0,5890.0,2.0,3262.0,160895,6769.0,1076.0,714.0,581.0,193.0,125,2,178,3,13,1,7,3,82.3,55.0,117.6,0.9,0.0,22.599999999999998,88.8,7192.8
2020-11-14,46,9852,234,36784,9848.0,17586.0,566.0,2998.0,3426.0,20577.0,38508,21800.0,12383.0,5543.0,8488.0,2323.0,5430.0,11.0,3138.0,142777,8264.0,1349.0,960.0,772.0,234.0,62,2,87,5,6,0,6,1,50.9,36.5,71.6,1.7,0.0,28.700000000000003,79.6,7192.9
2020-11-21,47,10162,261,36424,10221.0,17788.0,442.0,3448.0,3757.0,16748.0,31865,24063.0,13033.0,5436.0,9440.0,2579.0,6191.0,30.0,3698.0,138518,8791.0,1401.0,1070.0,988.0,261.0,61,2,81,6,9,3,6,0,50.49999999999999,34.3,75.2,45.29999999999999,0.0,27.6,103.8,7191.5
2020-11-28,48,9973,310,39966,10070.0,20729.0,455.0,4588.0,4265.0,14148.0,28752,26125.0,12712.0,5398.0,10440.0,2847.0,7507.0,38.0,3931.0,141935,9015.0,1385.0,1046.0,1025.0,310.0,69,5,55,10,5,0,2,0,15.399999999999999,-3.0,41.6,0.3,0.0,20.999999999999996,81.5,7197.4
2020-12-05,49,10518,364,38641,10383.0,21842.0,589.0,6302.0,5158.0,11845.0,27502,26865.0,11751.0,5262.0,11355.0,3725.0,7084.0,24.0,3711.0,143015,9005.0,1381.0,991.0,929.0,364.0,84,4,64,5,15,3,10,1,10.6,-3.3000000000000007,25.4,34.400000000000006,478.0,23.5,111.1,7114.4
2020-12-12,50,10706,341,36550,10502.0,21353.0,626.0,7868.0,6043.0,11288.0,27571,27248.0,11128.0,5782.0,13033.0,4331.0,6260.0,24.0,3546.0,146101,8991.0,1339.0,942.0,864.0,341.0,83,6,69,5,9,2,11,0,33.800000000000004,23.7,42.8,41.300000000000004,81.0,30.0,98.19999999999999,7043.799999999999
2020-12-19,51,9532,273,34350,9554.0,21678.0,488.0,7988.0,5953.0,11333.0,27220,25103.0,10865.0,5738.0,14564.0,3669.0,5714.0,100.0,3849.0,144262,8810.0,1413.0,1039.0,872.0,277.0,98,5,54,3,17,1,9,1,28.700000000000003,18.099999999999998,41.599999999999994,0.1,0.0,24.5,83.3,7162.8
2020-12-26,52,9171,218,28521,7724.0,20569.0,303.0,7622.0,5736.0,10276.0,26904,23200.0,10145.0,4928.0,15137.0,3009.0,5079.0,320.0,4050.0,137278,8468.0,1432.0,1081.0,728.0,221.0,87,3,61,1,11,0,3,3,52.00000000000001,42.300000000000004,64.6,41.099999999999994,0.0,38.800000000000004,122.3,7149.0
2021-01-02,53,10159,242,26912,8178.0,18723.0,255.0,8497.0,5852.0,9855.0,28541,22187.0,9784.0,5078.0,14720.0,2825.0,5651.0,446.0,4022.0,136436,8137.0,1373.0,1071.0,663.0,235.0,85,1,79,2,7,1,8,0,24.5,12.0,38.7,116.0,201.0,33.8,118.7,7046.499999999999
2021-01-09,1,14175,199,34156,10616.0,21318.0,242.0,10975.0,6651.0,12297.0,33898,22189.0,10733.0,7633.0,15653.0,3007.0,6972.0,574.0,4610.0,156752,8224.0,1312.0,995.0,686.0,199.0,111,5,147,4,6,1,17,7,23.2,14.700000000000001,34.4,28.6,20.0,23.2,111.19999999999999,7097.500000000001
2021-01-16,2,10038,167,31219,7760.0,23243.0,255.0,10869.0,7130.0,13966.0,36482,23080.0,10785.0,10557.0,15063.0,3381.0,6859.0,1187.0,4730.0,167587,8599.0,1366.0,992.0,691.0,167.0,123,7,118,1,14,1,15,6,-4.699999999999999,-25.700000000000003,26.7,0.8,40.0,33.0,118.6,7134.6
2021-01-23,3,8737,189,28324,6836.0,18838.0,309.0,7869.0,6869.0,12560.0,32258,20393.0,8692.0,10367.0,11734.0,3389.0,4648.0,1649.0,4025.0,143600,8263.0,1278.0,927.0,719.0,189.0,118,9,130,4,5,4,30,14,32.599999999999994,10.899999999999999,55.400000000000006,40.3,0.0,36.7,118.5,7104.5
2021-01-30,4,8594,161,27582,6471.0,14987.0,308.0,6250.0,7284.0,11444.0,28825,17391.0,7424.0,9328.0,10334.0,3041.0,3022.0,1063.0,3781.0,124482,7858.0,1219.0,870.0,537.0,161.0,151,15,172,49,10,1,13,10,18.699999999999996,4.5,37.8,21.7,0.0,26.9,107.6,7056.0
2021-02-06,5,7314,122,29151,5353.0,13104.0,261.0,5545.0,7240.0,11302.0,27975,16829.0,6645.0,8052.0,9560.0,2893.0,3115.0,435.0,3158.0,116114,7066.0,1149.0,792.0,424.0,122.0,162,24,219,61,8,1,11,3,53.9,39.5,73.1,5.1,20.0,32.400000000000006,127.80000000000001,7074.900000000001
2021-02-13,6,5947,93,25434,4292.0,10294.0,234.0,4397.0,6042.0,9961.0,24918,14412.0,5440.0,5526.0,7662.0,2687.0,3048.0,384.0,2172.0,97177,6041.0,1086.0,738.0,333.0,93.0,102,15,155,45,11,6,13,10,31.000000000000004,17.2,49.5,80.0,0.0,46.3,155.60000000000002,7081.599999999999
